Year,Apple,Microsoft,Saudi Aramco,Alphabet(Google),Amazon,Berkshire Hathaway,Nvidia,Tesla,Meta(Facebook),TSMC,Visa,Johnson& Johnson,Unitedhealth,Tencent,LVMH
2001,7.71,358.05,0,0,4.03,115.56,6.44,0,0,57.8,0,267.59,21.84,0,0
2002,5.16,276.63,0,0,7.32,111.63,1.2,0,0,26.26,0,234.5,25,0,20.45
2003,7.88,295.29,0,0,21.22,129.51,2.5,0,0,41.51,0,269.28,33.91,0,35.59
2004,26.05,290.71,0,0,18.14,135.3,3.91,0,0,39.48,0,328.11,56.6,0,37.45
2005,60.79,271.54,0,0,19.61,136.38,6.25,0,0,49.01,0,344.49,84.38,0,43.53
2006,72.98,291.94,0,0,16.33,169.64,13.15,0,0,56.46,0,439.01,72.26,0,51.69
2007,174.03,332.11,0,0,38.53,219.37,18.9,0,0,51.04,0,504.23,72.92,0,59.14
2008,75.99,172.92,0,0,21.99,149.56,4.33,0,0,40.48,44.37,406.06,32.12,0,32.71
2009,190.98,268.55,0,0,59.72,153.62,10.36,0,0,52.21,60.9,322.33,34.96,0,55.01
2010,297.09,234.52,0,0,81.18,198.31,8.94,2.52,0,63.55,48.37,364.06,39.21,7.79,80.22
2011,377.51,218.38,0,0,78.71,189.21,8.46,2.97,0,65.31,67.76,406.27,54.02,7.21,71.97
2012,499.69,223.66,0,0,113.89,220.61,7.66,3.86,63.14,86.83,99.79,389.64,55.27,59.53,91.79
2013,500.74,310.5,0,0,183.04,292.41,9.1,18.51,139.19,91.39,140.37,438.7,74.39,118.75,91.63
2014,643.12,381.72,0,359.5,144.31,370.66,10.89,27.95,216.73,115.31,161.09,388.38,96.43,135.89,80.72
2015,583.61,439.67,0,528.16,318.34,325.28,17.73,31.54,296.6,109.64,186.08,323.96,112.11,184.98,79.66
2016,608.96,483.16,0,539.06,356.31,401.64,57.53,34.42,331.59,145.7,186.81,374.28,152.32,230,96.55
2017,860.88,659.9,0,729.45,563.53,489.24,117.26,52.32,512.75,199.41,266.14,354.39,213.64,493.31,147.32
2018,746.07,780.36,0,723.55,737.46,502.37,81.43,57.44,374.13,191.19,299.35,288.92,239.15,381.65,148.54
2019,1287,1200,1880,921.13,920.22,551.96,144,75.71,585.37,286.57,416.79,295.44,278.69,460.66,233.69
2020,2255,1681,2053,1185,1634,543.67,323.24,668.9,778.23,488.12,482.17,174.28,332.73,699.78,316.64
2021,2901,2522,1908,1917,1691,669.12,735.27,1061,921.93,575.93,469.42,259.38,472.94,562.84,414.55
2022,2066,1787,1881,1145,856.94,681.77,364.18,388.97,319.88,386.31,439.95,454.24,495.37,405.09,363.55
